year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-02-09,Northbound,Light Vehicles,37,21,23,20,28,127,183,294,572,422,375,383,381,362,373,463,538,500,355,257,207,164,109,78,0,0
2024,2024-02-09,Northbound,All Vehicles,40,22,26,25,34,130,199,320,615,457,401,405,405,394,400,497,567,521,373,268,213,167,113,79,0,0
2024,2024-02-10,Northbound,Light Vehicles,61,37,29,23,24,64,114,186,274,308,380,340,384,315,298,286,286,311,284,203,185,150,124,76,0,0
2024,2024-02-10,Northbound,Heavy Vehicles,1,,2,3,2,9,15,19,26,18,29,27,23,25,24,16,21,18,20,8,16,12,4,8,0,0
2024,2024-02-10,Northbound,All Vehicles,62,37,31,26,26,73,129,205,300,326,409,367,407,340,322,302,307,329,304,211,201,162,128,84,0,0
2024,2024-02-11,Northbound,Heavy Vehicles,3,1,,2,2,6,12,8,19,15,16,21,17,15,17,17,20,22,11,9,12,8,5,2,0,0
2024,2024-02-11,Northbound,Light Vehicles,84,57,46,21,11,43,85,112,191,263,274,361,349,313,278,275,275,304,225,201,172,126,70,44,0,0
2024,2024-02-11,Northbound,All Vehicles,87,58,46,23,13,49,97,120,210,278,290,382,366,328,295,292,295,326,236,210,184,134,75,46,0,0
2024,2024-02-12,Northbound,Heavy Vehicles,4,5,2,2,4,4,8,21,38,28,28,27,29,26,26,32,27,15,7,7,8,4,4,2,0,0
2024,2024-02-12,Northbound,Light Vehicles,27,18,9,12,34,101,214,327,597,415,342,316,334,337,357,445,512,557,338,219,176,155,64,45,0,0
2024,2024-02-12,Northbound,All Vehicles,31,23,11,14,38,105,222,348,635,443,370,343,363,363,383,477,539,572,345,226,184,159,68,47,0,0
2024,2024-02-13,Northbound,Light Vehicles,25,20,13,18,24,123,194,326,616,510,361,408,335,338,402,500,499,523,370,271,163,135,80,37,0,0
2024,2024-02-13,Northbound,Heavy Vehicles,1,1,3,1,4,4,14,29,32,28,22,15,27,20,31,23,29,21,14,6,8,2,1,2,0,0
2024,2024-02-13,Northbound,All Vehicles,26,21,16,19,28,127,208,355,648,538,383,423,362,358,433,523,528,544,384,277,171,137,81,39,0,0
2024,2024-02-14,Northbound,Heavy Vehicles,,2,3,1,6,2,15,24,41,23,22,31,37,38,32,54,52,37,23,16,14,7,2,2,0,0
2024,2024-02-14,Northbound,Light Vehicles,17,16,9,16,36,104,213,320,611,408,379,350,398,344,397,475,526,546,388,274,181,165,69,55,0,0
2024,2024-02-14,Northbound,All Vehicles,17,18,12,17,42,106,228,344,652,431,401,381,435,382,429,529,578,583,411,290,195,172,71,57,0,0
2024,2024-02-15,Northbound,Light Vehicles,21,17,14,19,28,110,202,316,576,426,380,381,393,340,363,499,519,578,422,274,213,140,92,48,0,0
2024,2024-02-15,Northbound,Heavy Vehicles,1,3,5,7,5,13,23,36,50,35,44,39,43,38,33,42,29,39,21,15,11,12,6,4,0,0
2024,2024-02-15,Northbound,All Vehicles,22,20,19,26,33,123,225,352,626,461,424,420,436,378,396,541,548,617,443,289,224,152,98,52,0,0
2024,2024-02-16,Northbound,Heavy Vehicles,1,1,3,2,4,7,17,26,33,46,53,30,31,27,18,35,24,23,23,9,13,6,3,2,0,0
2024,2024-02-16,Northbound,Light Vehicles,34,19,14,19,26,115,164,285,568,432,331,351,360,329,406,467,495,494,389,245,211,153,139,80,0,0
2024,2024-02-16,Northbound,All Vehicles,35,20,17,21,30,122,181,311,601,478,384,381,391,356,424,502,519,517,412,254,224,159,142,82,0,0
