the_geom,station_id,road_name,suburb,cardinal_direction_name,classification_type,year,period,traffic_count,wgs84_latitude,wgs84_longitude
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,HEAVY VEHICLES,2024,WEEKENDS,859,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,ALL VEHICLES,2024,WEEKENDS,19441,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,LIGHT VEHICLES,2024,WEEKENDS,18398,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,HEAVY VEHICLES,2024,WEEKENDS,1043,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,ALL VEHICLES,2024,WEEKENDS,36110,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,LIGHT VEHICLES,2024,WEEKENDS,34208,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,HEAVY VEHICLES,2024,WEEKENDS,1902,-33.878181,150.924942
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,BOTH,ALL VEHICLES,2024,ALL DAYS,70091,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,BOTH,LIGHT VEHICLES,2024,ALL DAYS,64900,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,BOTH,HEAVY VEHICLES,2024,ALL DAYS,5191,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,EAST,ALL VEHICLES,2024,ALL DAYS,31381,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,EAST,LIGHT VEHICLES,2024,ALL DAYS,28940,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,EAST,HEAVY VEHICLES,2024,ALL DAYS,2441,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,WEST,ALL VEHICLES,2024,ALL DAYS,38710,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,WEST,LIGHT VEHICLES,2024,ALL DAYS,35960,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,WEST,HEAVY VEHICLES,2024,ALL DAYS,2750,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,BOTH,ALL VEHICLES,2024,AM PEAK,18395,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,BOTH,LIGHT VEHICLES,2024,AM PEAK,16438,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,BOTH,HEAVY VEHICLES,2024,AM PEAK,1957,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,EAST,ALL VEHICLES,2024,AM PEAK,8370,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,EAST,LIGHT VEHICLES,2024,AM PEAK,7193,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,EAST,HEAVY VEHICLES,2024,AM PEAK,1177,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,WEST,ALL VEHICLES,2024,AM PEAK,10025,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,WEST,LIGHT VEHICLES,2024,AM PEAK,9245,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,WEST,HEAVY VEHICLES,2024,AM PEAK,780,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,BOTH,ALL VEHICLES,2024,OFF PEAK,33411,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,BOTH,LIGHT VEHICLES,2024,OFF PEAK,30512,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,BOTH,HEAVY VEHICLES,2024,OFF PEAK,2899,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,EAST,ALL VEHICLES,2024,OFF PEAK,14924,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,EAST,LIGHT VEHICLES,2024,OFF PEAK,13674,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,EAST,HEAVY VEHICLES,2024,OFF PEAK,1250,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,WEST,ALL VEHICLES,2024,OFF PEAK,18487,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,WEST,LIGHT VEHICLES,2024,OFF PEAK,16838,-33.876652,151.230606
0101000020E61000005D88D51F61E762408BFCFA2136F040C0,10011,New South Head Road,Edgecliff,WEST,HEAVY VEHICLES,2024,OFF PEAK,1649,-33.876652,151.230606
