date,station_id,station_name,station_lat,station_lon,station_suburb,station_lga,traffic_volume_total,traffic_volume_heavy,public_holiday,school_holiday,temp_c,wind_speed_ms,wind_dir_deg,rain_mm,weather_source_type,no2_pphm,matched_aq_site,aq_distance_km,has_no2_coverage,day_of_week,is_weekend,month,season_Autumn,season_Spring,season_Summer,season_Winter,road_Highway,road_Local Street,road_Major Road,heavy_pct,is_rainy,log_no2_pphm,traffic_volume_total_lag1,no2_pphm_lag1,traffic_volume_total_roll7,has_wind_data,stn_100001,stn_10011,stn_6109,stn_6119-PR,stn_6124,stn_6135-PR,stn_6178-PR,stn_7211,stn_7212,stn_7216,stn_MUB001
2024-02-09,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,47785.0,5199.0,0,0,21.379166666666663,1.9208333333333327,182.52916666666667,0.0,metro_hourly,0.408695652173913,LIVERPOOL,4.8,True,4,0,2,0,0,1,0,0,1,0,10.87998325834467,0,0.34266420686913396,45393.0,0.5347826086956522,41889.42857142857,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-10,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,40298.0,2240.0,0,0,22.5,2.5875,154.82916666666668,0.0,metro_hourly,-0.0565217391304347,LIVERPOOL,4.8,True,5,1,2,0,0,1,0,0,1,0,5.558588515559085,0,0.0,47785.0,0.408695652173913,42243.142857142855,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-11,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,34354.0,1394.0,0,0,21.77916666666667,1.8125,129.32916666666668,0.0,metro_hourly,0.1913043478260869,LIVERPOOL,4.8,True,6,1,2,0,0,1,0,0,1,0,4.0577516446410895,0,0.1750487974648748,40298.0,-0.0565217391304347,42195.142857142855,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-12,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,42109.0,4850.0,0,0,25.066666666666663,2.2041666666666666,111.69166666666666,0.0,metro_hourly,0.4869565217391304,LIVERPOOL,4.8,True,0,0,2,0,0,1,0,0,1,0,11.517727801657603,0,0.39673142813940976,34354.0,0.1913043478260869,42429.42857142857,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-13,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,43374.0,5296.0,0,0,25.104166666666668,0.8791666666666668,140.48749999999998,10.8,metro_hourly,1.0869565217391304,LIVERPOOL,4.8,True,1,0,2,0,0,1,0,0,1,0,12.210079771291557,1,0.7357067949787413,42109.0,0.4869565217391304,42451.57142857143,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-14,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,45427.0,5098.0,0,0,22.98333333333333,1.6708333333333334,216.7958333333333,1.8000000000000005,metro_hourly,0.5130434782608695,LIVERPOOL,4.8,True,2,0,2,0,0,1,0,0,1,0,11.22240077486957,1,0.4141231708512789,43374.0,1.0869565217391304,42582.57142857143,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-15,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,43798.0,5149.0,0,0,19.120833333333334,1.225,210.4,1.8,metro_hourly,0.6217391304347827,LIVERPOOL,4.8,True,3,0,2,0,0,1,0,0,1,0,11.756244577377963,1,0.48349911072062024,45427.0,0.5130434782608695,42677.142857142855,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-16,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,44975.0,5026.0,0,0,23.34583333333333,1.6,131.76666666666668,1.2000000000000002,metro_hourly,0.7304347826086957,LIVERPOOL,4.8,True,4,0,2,0,0,1,0,0,1,0,11.17509727626459,1,0.5483726963612423,43798.0,0.6217391304347827,42449.28571428572,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-17,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,40877.0,2432.0,0,0,25.71666666666667,1.1541666666666666,165.40833333333333,0.2,metro_hourly,0.8217391304347825,LIVERPOOL,4.8,True,5,1,2,0,0,1,0,0,1,0,5.9495559850282556,0,0.5997916109989423,44975.0,0.7304347826086957,42047.857142857145,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-18,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,33216.0,1412.0,0,0,24.241666666666664,1.0791666666666666,202.44583333333333,0.4,metro_hourly,1.5,LIVERPOOL,4.8,True,6,1,2,0,0,1,0,0,1,0,4.250963391136802,0,0.9162907318741551,40877.0,0.8217391304347825,42130.57142857143,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-19,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,41369.0,5005.0,0,0,21.5125,1.1958333333333333,216.6208333333333,7.0,metro_hourly,1.2428571428571429,LIVERPOOL,4.8,True,0,0,2,0,0,1,0,0,1,0,12.098431192438783,1,0.8077505632989491,33216.0,1.5,41968.0,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-20,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,41997.0,5127.0,0,0,20.55217391304348,0.9695652173913044,189.2,38.0,metro_hourly,0.9833333333333334,LIVERPOOL,4.8,True,1,0,2,0,0,1,0,0,1,0,12.208014858204159,1,0.6847789308894288,41369.0,1.2428571428571429,41862.28571428572,1,1,0,0,0,0,0,0,0,0,0,0
