date,hour_ending,station_id,station_name,station_lat,station_lon,station_suburb,station_lga,traffic_volume_total,traffic_volume_light,traffic_volume_heavy,public_holiday,school_holiday,temp_c,humidity_pct,wind_speed_ms,wind_dir_deg,rain_mm,no2_pphm,co_ppm,ozone_pphm,matched_aq_site,aq_distance_km,has_no2_coverage
2024-01-05,12,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1361.0,1088.0,273.0,0,0,18.0,71.0,3.6,78.6,0.0,0.1,,1.7,GOULBURN,78.1,True
2024-01-05,13,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1407.0,1154.0,253.0,0,0,18.6,68.7,3.2,84.1,0.0,0.2,,1.8,GOULBURN,78.1,True
2024-01-05,14,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1418.0,1166.0,252.0,0,0,19.1,65.7,3.1,79.9,0.0,0.1,,1.8,GOULBURN,78.1,True
2024-01-05,15,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1429.0,1165.0,264.0,0,0,19.7,64.4,3.6,88.4,0.0,0.1,,2.0,GOULBURN,78.1,True
2024-01-05,16,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1292.0,1037.0,255.0,0,0,19.6,66.0,3.8,88.4,0.0,0.1,,2.1,GOULBURN,78.1,True
2024-01-05,17,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1198.0,977.0,221.0,0,0,18.7,70.5,4.0,95.8,0.0,0.1,,1.9,GOULBURN,78.1,True
2024-01-05,18,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1058.0,833.0,225.0,0,0,18.2,71.5,4.6,92.5,0.0,0.1,,1.8,GOULBURN,78.1,True
2024-01-05,19,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,829.0,618.0,211.0,0,0,17.5,73.9,4.1,84.5,0.0,0.1,,1.7,GOULBURN,78.1,True
2024-01-05,20,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,640.0,436.0,204.0,0,0,16.0,78.5,2.5,99.8,0.0,0.2,,1.5,GOULBURN,78.1,True
2024-01-05,21,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,513.0,328.0,185.0,0,0,14.9,84.1,2.0,70.5,0.0,0.2,,1.4,GOULBURN,78.1,True
2024-01-05,22,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,359.0,202.0,157.0,0,0,14.6,86.4,2.3,88.4,0.0,0.1,,1.4,GOULBURN,78.1,True
2024-01-05,23,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,334.0,156.0,178.0,0,0,14.4,86.4,2.1,89.7,0.0,0.2,,1.3,GOULBURN,78.1,True
2024-01-05,24,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,239.0,87.0,152.0,0,0,14.2,87.2,1.9,67.4,0.0,0.2,,1.3,GOULBURN,78.1,True
2024-01-07,1,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,95.0,57.0,38.0,0,0,15.1,87.0,1.1,90.4,0.0,0.2,,1.4,GOULBURN,78.1,True
2024-01-07,2,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,81.0,42.0,39.0,0,0,14.8,86.1,1.4,92.9,0.0,,,,GOULBURN,78.1,True
2024-01-07,3,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,82.0,48.0,34.0,0,0,14.4,88.6,1.5,85.4,0.0,0.1,,1.5,GOULBURN,78.1,True
2024-01-07,4,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,64.0,34.0,30.0,0,0,14.0,89.7,0.9,82.9,0.0,0.1,,1.4,GOULBURN,78.1,True
2024-01-07,5,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,90.0,60.0,30.0,0,0,13.8,89.7,0.9,86.2,0.0,0.3,,1.2,GOULBURN,78.1,True
2024-01-07,6,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,111.0,75.0,36.0,0,0,13.9,88.0,0.6,87.4,0.0,0.3,,1.2,GOULBURN,78.1,True
2024-01-07,7,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,217.0,173.0,44.0,0,0,15.2,81.1,1.3,69.4,0.0,0.2,,1.4,GOULBURN,78.1,True
2024-01-07,8,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,413.0,341.0,72.0,0,0,18.1,68.8,1.8,43.1,0.0,0.1,,1.8,GOULBURN,78.1,True
2024-01-07,9,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,696.0,579.0,117.0,0,0,20.1,61.2,2.4,22.2,0.0,0.1,,2.1,GOULBURN,78.1,True
2024-01-07,10,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1121.0,946.0,175.0,0,0,21.7,58.9,2.1,50.4,0.0,0.1,,2.2,GOULBURN,78.1,True
2024-01-07,11,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1325.0,1120.0,205.0,0,0,23.4,55.2,1.9,63.5,0.0,0.1,,2.3,GOULBURN,78.1,True
2024-01-07,12,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1721.0,1500.0,221.0,0,0,23.9,56.3,2.5,98.4,0.0,0.2,,2.4,GOULBURN,78.1,True
2024-01-07,13,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1750.0,1513.0,237.0,0,0,24.9,56.1,3.0,89.3,0.0,0.1,,2.3,GOULBURN,78.1,True
2024-01-07,14,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1791.0,1540.0,251.0,0,0,25.6,55.4,3.2,85.9,0.0,0.1,,2.2,GOULBURN,78.1,True
2024-01-07,15,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1778.0,1558.0,220.0,0,0,26.0,55.3,2.3,83.4,0.0,0.1,,2.1,GOULBURN,78.1,True
2024-01-07,16,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1632.0,1408.0,224.0,0,0,26.1,56.4,3.4,79.6,0.0,0.1,,2.2,GOULBURN,78.1,True
2024-01-07,17,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1446.0,1207.0,239.0,0,0,24.5,66.9,2.6,75.5,0.2,0.2,,2.2,GOULBURN,78.1,True
2024-01-07,18,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1201.0,972.0,229.0,0,0,24.5,64.1,2.5,48.8,0.0,0.2,,2.2,GOULBURN,78.1,True
2024-01-07,19,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,884.0,686.0,198.0,0,0,23.5,66.3,2.1,35.1,0.0,0.2,,2.3,GOULBURN,78.1,True
2024-01-07,20,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,640.0,454.0,186.0,0,0,20.7,85.2,2.1,50.2,0.6,0.2,,2.5,GOULBURN,78.1,True
2024-01-07,21,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,474.0,299.0,175.0,0,0,20.9,83.7,1.3,55.8,0.0,0.3,,2.6,GOULBURN,78.1,True
2024-01-07,22,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,350.0,187.0,163.0,0,0,21.0,80.2,2.0,59.0,0.0,0.2,,2.7,GOULBURN,78.1,True
2024-01-07,23,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,213.0,116.0,97.0,0,0,20.6,80.9,1.3,43.7,0.0,0.2,,2.4,GOULBURN,78.1,True
2024-01-07,24,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,179.0,85.0,94.0,0,0,20.2,82.9,1.1,20.2,0.0,0.2,,2.2,GOULBURN,78.1,True
2024-01-08,1,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,154.0,63.0,91.0,0,0,19.9,83.8,1.1,51.6,0.0,0.2,,2.0,GOULBURN,78.1,True
2024-01-08,2,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,121.0,44.0,77.0,0,0,19.6,85.2,1.2,39.1,0.0,,,,GOULBURN,78.1,True
2024-01-08,3,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,111.0,40.0,71.0,0,0,19.2,90.2,0.5,65.4,0.4,0.2,,1.4,GOULBURN,78.1,True
2024-01-08,4,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,96.0,34.0,62.0,0,0,19.1,91.6,1.2,55.0,0.2,0.3,,1.2,GOULBURN,78.1,True
2024-01-08,5,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,125.0,67.0,58.0,0,0,19.0,92.5,1.0,59.2,0.0,0.7,,0.9,GOULBURN,78.1,True
2024-01-08,6,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,216.0,132.0,84.0,0,0,19.3,91.8,1.1,24.1,1.8,0.6,,1.2,GOULBURN,78.1,True
2024-01-08,7,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,409.0,279.0,130.0,0,0,19.6,90.1,1.8,4.0,2.2,0.2,,2.0,GOULBURN,78.1,True
2024-01-08,8,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,646.0,489.0,157.0,0,0,19.8,89.6,1.0,346.0,2.6,0.2,,1.9,GOULBURN,78.1,True
2024-01-08,9,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,970.0,741.0,229.0,0,0,19.4,90.2,1.4,346.5,2.6,0.2,,1.8,GOULBURN,78.1,True
2024-01-08,10,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1268.0,1015.0,253.0,0,0,19.7,90.9,0.9,353.5,1.6,0.3,,1.7,GOULBURN,78.1,True
2024-01-08,11,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1489.0,1220.0,269.0,0,0,19.8,90.7,1.4,357.4,4.8,0.3,,1.7,GOULBURN,78.1,True
2024-01-08,12,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1656.0,1339.0,317.0,0,0,19.5,93.4,0.9,3.6,3.2,0.3,,1.6,GOULBURN,78.1,True
2024-01-08,13,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1587.0,1258.0,329.0,0,0,20.1,89.5,1.6,293.7,2.0,0.2,,1.9,GOULBURN,78.1,True
2024-01-08,14,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1579.0,1245.0,334.0,0,0,18.7,91.4,1.2,287.3,0.8,0.2,,3.8,GOULBURN,78.1,True
2024-01-08,15,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1546.0,1219.0,327.0,0,0,21.5,82.3,1.4,325.4,0.0,0.2,,3.4,GOULBURN,78.1,True
2024-01-08,16,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1360.0,1024.0,336.0,0,0,22.6,73.3,2.2,308.5,0.0,0.1,,3.7,GOULBURN,78.1,True
2024-01-08,17,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1160.0,846.0,314.0,0,0,21.7,73.5,2.0,255.2,0.0,0.1,,4.0,GOULBURN,78.1,True
2024-01-08,18,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,964.0,695.0,269.0,0,0,19.6,86.6,0.9,231.5,0.2,0.2,,3.7,GOULBURN,78.1,True
2024-01-08,19,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,782.0,508.0,274.0,0,0,20.2,81.6,0.7,299.4,0.0,0.2,,3.5,GOULBURN,78.1,True
2024-01-08,20,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,623.0,334.0,289.0,0,0,19.3,83.1,0.7,295.8,0.0,0.3,,3.2,GOULBURN,78.1,True
2024-01-08,21,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,487.0,211.0,276.0,0,0,18.0,89.1,0.2,300.4,0.0,0.4,,2.5,GOULBURN,78.1,True
2024-01-08,22,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,401.0,124.0,277.0,0,0,18.3,88.7,0.7,308.4,0.0,0.3,,2.4,GOULBURN,78.1,True
