Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066212,2025,08,24,19.0,1,Y
IDCJAC0010,066212,2025,08,25,22.5,1,Y
IDCJAC0010,066212,2025,08,26,25.3,1,Y
IDCJAC0010,066212,2025,08,27,21.3,1,Y
IDCJAC0010,066212,2025,08,28,20.2,1,Y
IDCJAC0010,066212,2025,08,29,20.9,1,Y
IDCJAC0010,066212,2025,08,30,18.4,1,Y
IDCJAC0010,066212,2025,08,31,21.2,1,Y
IDCJAC0010,066212,2025,09,01,20.6,1,Y
IDCJAC0010,066212,2025,09,02,20.1,1,Y
IDCJAC0010,066212,2025,09,03,22.7,1,Y
IDCJAC0010,066212,2025,09,04,24.0,1,Y
IDCJAC0010,066212,2025,09,05,18.6,1,Y
IDCJAC0010,066212,2025,09,06,21.2,1,Y
IDCJAC0010,066212,2025,09,07,26.5,1,Y
IDCJAC0010,066212,2025,09,08,28.5,1,Y
IDCJAC0010,066212,2025,09,09,26.1,1,Y
IDCJAC0010,066212,2025,09,10,18.3,1,Y
IDCJAC0010,066212,2025,09,11,17.8,1,Y
IDCJAC0010,066212,2025,09,12,21.2,1,Y
IDCJAC0010,066212,2025,09,13,21.6,1,Y
IDCJAC0010,066212,2025,09,14,25.0,1,Y
IDCJAC0010,066212,2025,09,15,27.8,1,Y
IDCJAC0010,066212,2025,09,16,28.1,1,Y
IDCJAC0010,066212,2025,09,17,26.7,1,Y
IDCJAC0010,066212,2025,09,18,21.4,1,Y
IDCJAC0010,066212,2025,09,19,25.6,1,Y
IDCJAC0010,066212,2025,09,20,23.0,1,Y
IDCJAC0010,066212,2025,09,21,22.8,1,Y
IDCJAC0010,066212,2025,09,22,23.0,1,Y
IDCJAC0010,066212,2025,09,23,18.3,1,Y
IDCJAC0010,066212,2025,09,24,26.0,1,Y
IDCJAC0010,066212,2025,09,25,26.0,1,Y
IDCJAC0010,066212,2025,09,26,28.6,1,Y
IDCJAC0010,066212,2025,09,27,28.3,1,Y
IDCJAC0010,066212,2025,09,28,24.3,1,Y
IDCJAC0010,066212,2025,09,29,24.0,1,Y
IDCJAC0010,066212,2025,09,30,27.9,1,Y
IDCJAC0010,066212,2025,10,01,27.3,1,N
IDCJAC0010,066212,2025,10,02,26.1,1,N
IDCJAC0010,066212,2025,10,03,25.9,1,N
IDCJAC0010,066212,2025,10,04,24.3,1,N
IDCJAC0010,066212,2025,10,05,31.2,1,N
IDCJAC0010,066212,2025,10,06,32.6,1,N
IDCJAC0010,066212,2025,10,07,23.0,1,N
IDCJAC0010,066212,2025,10,08,31.9,1,N
IDCJAC0010,066212,2025,10,09,27.1,1,N
IDCJAC0010,066212,2025,10,10,31.3,1,N
IDCJAC0010,066212,2025,10,11,31.7,1,N
IDCJAC0010,066212,2025,10,12,31.9,1,N
