Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066124,2024,08,30,30.0,1,Y
IDCJAC0010,066124,2024,08,31,24.8,1,Y
IDCJAC0010,066124,2024,09,01,27.0,1,Y
IDCJAC0010,066124,2024,09,02,25.0,1,Y
IDCJAC0010,066124,2024,09,03,18.2,1,Y
IDCJAC0010,066124,2024,09,04,22.6,1,Y
IDCJAC0010,066124,2024,09,05,26.5,1,Y
IDCJAC0010,066124,2024,09,06,29.3,1,Y
IDCJAC0010,066124,2024,09,07,24.8,1,Y
IDCJAC0010,066124,2024,09,08,20.7,1,Y
IDCJAC0010,066124,2024,09,09,25.0,1,Y
IDCJAC0010,066124,2024,09,10,22.2,1,Y
IDCJAC0010,066124,2024,09,11,26.2,1,Y
IDCJAC0010,066124,2024,09,12,19.8,1,Y
IDCJAC0010,066124,2024,09,13,18.2,1,Y
IDCJAC0010,066124,2024,09,14,23.0,1,Y
IDCJAC0010,066124,2024,09,15,16.8,1,Y
IDCJAC0010,066124,2024,09,16,18.8,1,Y
IDCJAC0010,066124,2024,09,17,21.5,1,Y
IDCJAC0010,066124,2024,09,18,26.0,1,Y
IDCJAC0010,066124,2024,09,19,26.5,1,Y
IDCJAC0010,066124,2024,09,20,25.4,1,Y
IDCJAC0010,066124,2024,09,21,24.5,1,Y
IDCJAC0010,066124,2024,09,22,25.6,1,Y
IDCJAC0010,066124,2024,09,23,28.5,1,Y
IDCJAC0010,066124,2024,09,24,25.8,1,Y
IDCJAC0010,066124,2024,09,25,28.0,1,Y
IDCJAC0010,066124,2024,09,26,13.4,1,Y
IDCJAC0010,066124,2024,09,27,17.4,1,Y
IDCJAC0010,066124,2024,09,28,19.2,1,Y
IDCJAC0010,066124,2024,09,29,20.8,1,Y
IDCJAC0010,066124,2024,09,30,20.8,1,Y
IDCJAC0010,066124,2024,10,01,22.2,1,Y
IDCJAC0010,066124,2024,10,02,19.8,1,Y
IDCJAC0010,066124,2024,10,03,21.0,1,Y
IDCJAC0010,066124,2024,10,04,22.8,1,Y
IDCJAC0010,066124,2024,10,05,26.2,1,Y
IDCJAC0010,066124,2024,10,06,27.8,1,Y
IDCJAC0010,066124,2024,10,07,29.0,1,Y
IDCJAC0010,066124,2024,10,08,16.2,1,Y
IDCJAC0010,066124,2024,10,09,17.0,1,Y
IDCJAC0010,066124,2024,10,10,24.6,1,Y
IDCJAC0010,066124,2024,10,11,25.3,1,Y
IDCJAC0010,066124,2024,10,12,18.8,1,Y
IDCJAC0010,066124,2024,10,13,21.2,1,Y
IDCJAC0010,066124,2024,10,14,26.4,1,Y
IDCJAC0010,066124,2024,10,15,17.7,1,Y
IDCJAC0010,066124,2024,10,16,19.6,1,Y
IDCJAC0010,066124,2024,10,17,25.0,1,Y
IDCJAC0010,066124,2024,10,18,26.2,1,Y
IDCJAC0010,066124,2024,10,19,25.2,1,Y
IDCJAC0010,066124,2024,10,20,22.8,1,Y
IDCJAC0010,066124,2024,10,21,21.5,1,Y
IDCJAC0010,066124,2024,10,22,25.2,1,Y
IDCJAC0010,066124,2024,10,23,29.6,1,Y
IDCJAC0010,066124,2024,10,24,22.5,1,Y
IDCJAC0010,066124,2024,10,25,21.8,1,Y
IDCJAC0010,066124,2024,10,26,20.0,1,Y
IDCJAC0010,066124,2024,10,27,26.6,1,Y
IDCJAC0010,066124,2024,10,28,26.2,1,Y
IDCJAC0010,066124,2024,10,29,24.5,1,Y
IDCJAC0010,066124,2024,10,30,27.7,1,Y
IDCJAC0010,066124,2024,10,31,29.8,1,Y
IDCJAC0010,066124,2024,11,01,23.7,1,Y
IDCJAC0010,066124,2024,11,02,21.2,1,Y
IDCJAC0010,066124,2024,11,03,31.2,1,Y
IDCJAC0010,066124,2024,11,04,22.3,1,Y
