Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066137,2025,09,18,21.7,1,Y
IDCJAC0010,066137,2025,09,19,25.5,1,Y
IDCJAC0010,066137,2025,09,20,22.6,1,Y
IDCJAC0010,066137,2025,09,21,22.6,1,Y
IDCJAC0010,066137,2025,09,22,22.4,1,Y
IDCJAC0010,066137,2025,09,23,19.3,1,Y
IDCJAC0010,066137,2025,09,24,26.0,1,Y
IDCJAC0010,066137,2025,09,25,26.3,1,Y
IDCJAC0010,066137,2025,09,26,29.7,1,Y
IDCJAC0010,066137,2025,09,27,29.4,1,Y
IDCJAC0010,066137,2025,09,28,24.6,1,Y
IDCJAC0010,066137,2025,09,29,23.9,1,Y
IDCJAC0010,066137,2025,09,30,28.4,1,Y
IDCJAC0010,066137,2025,10,01,26.9,1,Y
IDCJAC0010,066137,2025,10,02,25.9,1,Y
IDCJAC0010,066137,2025,10,03,25.3,1,Y
IDCJAC0010,066137,2025,10,04,24.0,1,Y
IDCJAC0010,066137,2025,10,05,31.2,1,Y
IDCJAC0010,066137,2025,10,06,32.3,1,Y
IDCJAC0010,066137,2025,10,07,22.9,1,Y
IDCJAC0010,066137,2025,10,08,32.4,1,Y
IDCJAC0010,066137,2025,10,09,29.2,1,Y
IDCJAC0010,066137,2025,10,10,31.4,1,Y
IDCJAC0010,066137,2025,10,11,31.5,1,Y
IDCJAC0010,066137,2025,10,12,32.2,1,Y
IDCJAC0010,066137,2025,10,13,23.9,1,Y
IDCJAC0010,066137,2025,10,14,28.5,1,Y
IDCJAC0010,066137,2025,10,15,29.0,1,Y
IDCJAC0010,066137,2025,10,16,32.8,1,Y
IDCJAC0010,066137,2025,10,17,35.6,1,Y
IDCJAC0010,066137,2025,10,18,23.4,1,Y
IDCJAC0010,066137,2025,10,19,28.4,1,Y
IDCJAC0010,066137,2025,10,20,37.6,1,Y
IDCJAC0010,066137,2025,10,21,24.6,1,Y
IDCJAC0010,066137,2025,10,22,39.8,1,Y
IDCJAC0010,066137,2025,10,23,23.2,1,Y
IDCJAC0010,066137,2025,10,24,25.6,1,Y
IDCJAC0010,066137,2025,10,25,27.8,1,Y
IDCJAC0010,066137,2025,10,26,27.2,1,Y
IDCJAC0010,066137,2025,10,27,26.7,1,Y
IDCJAC0010,066137,2025,10,28,17.4,1,Y
IDCJAC0010,066137,2025,10,29,18.0,1,Y
IDCJAC0010,066137,2025,10,30,23.9,1,Y
IDCJAC0010,066137,2025,10,31,27.2,1,Y
IDCJAC0010,066137,2025,11,01,23.8,1,Y
IDCJAC0010,066137,2025,11,02,25.4,1,Y
IDCJAC0010,066137,2025,11,03,33.5,1,Y
IDCJAC0010,066137,2025,11,04,23.8,1,Y
IDCJAC0010,066137,2025,11,05,27.0,1,Y
IDCJAC0010,066137,2025,11,06,26.9,1,Y
IDCJAC0010,066137,2025,11,07,31.0,1,Y
IDCJAC0010,066137,2025,11,08,35.5,1,Y
IDCJAC0010,066137,2025,11,09,22.8,1,Y
IDCJAC0010,066137,2025,11,10,25.0,1,Y
IDCJAC0010,066137,2025,11,11,29.1,1,Y
IDCJAC0010,066137,2025,11,12,24.1,1,Y
IDCJAC0010,066137,2025,11,13,29.8,1,Y
IDCJAC0010,066137,2025,11,14,24.6,1,Y
IDCJAC0010,066137,2025,11,15,29.4,1,Y
IDCJAC0010,066137,2025,11,16,32.1,1,Y
IDCJAC0010,066137,2025,11,17,24.5,1,Y
IDCJAC0010,066137,2025,11,18,29.3,1,Y
IDCJAC0010,066137,2025,11,19,33.1,1,Y
IDCJAC0010,066137,2025,11,20,26.0,1,Y
IDCJAC0010,066137,2025,11,21,21.4,1,Y
IDCJAC0010,066137,2025,11,22,21.9,1,Y
IDCJAC0010,066137,2025,11,23,32.0,1,Y
IDCJAC0010,066137,2025,11,24,26.2,1,Y
IDCJAC0010,066137,2025,11,25,34.0,1,Y
IDCJAC0010,066137,2025,11,26,35.6,1,Y
IDCJAC0010,066137,2025,11,27,32.8,1,Y
IDCJAC0010,066137,2025,11,28,33.0,1,Y
IDCJAC0010,066137,2025,11,29,33.4,1,Y
IDCJAC0010,066137,2025,11,30,29.7,1,Y
IDCJAC0010,066137,2025,12,01,25.2,1,N
IDCJAC0010,066137,2025,12,02,23.0,1,N
IDCJAC0010,066137,2025,12,03,29.8,1,N
IDCJAC0010,066137,2025,12,04,34.9,1,N
IDCJAC0010,066137,2025,12,05,39.1,1,N
IDCJAC0010,066137,2025,12,06,40.8,1,N
IDCJAC0010,066137,2025,12,07,23.6,1,N
IDCJAC0010,066137,2025,12,08,29.2,1,N
IDCJAC0010,066137,2025,12,09,36.3,1,N
IDCJAC0010,066137,2025,12,10,27.5,1,Y
IDCJAC0010,066137,2025,12,11,25.8,1,N
IDCJAC0010,066137,2025,12,12,23.4,1,N
IDCJAC0010,066137,2025,12,13,30.0,1,N
IDCJAC0010,066137,2025,12,14,34.7,1,N
IDCJAC0010,066137,2025,12,15,25.3,1,N
IDCJAC0010,066137,2025,12,16,22.5,1,N
IDCJAC0010,066137,2025,12,17,28.9,1,N
IDCJAC0010,066137,2025,12,18,37.6,1,N
IDCJAC0010,066137,2025,12,19,42.0,1,N
IDCJAC0010,066137,2025,12,20,34.8,1,N
IDCJAC0010,066137,2025,12,21,38.6,1,N
IDCJAC0010,066137,2025,12,22,32.1,1,N
IDCJAC0010,066137,2025,12,23,33.5,1,N
IDCJAC0010,066137,2025,12,24,34.9,1,N
IDCJAC0010,066137,2025,12,25,24.0,1,N
IDCJAC0010,066137,2025,12,26,19.9,1,N
IDCJAC0010,066137,2025,12,27,23.0,1,N
IDCJAC0010,066137,2025,12,28,24.4,1,N
IDCJAC0010,066137,2025,12,29,25.2,1,N
IDCJAC0010,066137,2025,12,30,27.4,1,N
IDCJAC0010,066137,2025,12,31,25.3,1,N
